ax,ay,az,temp,gx,gy,gz
0.0168,0.0796,1.0195,33.09,-2.084,-0.527,0.809
0.0208,0.0796,1.0181,33.09,-2.466,-0.214,0.649
0.0181,0.0796,1.0203,33.09,-2.176,-0.366,0.618
0.0161,0.0796,1.0205,33.19,-2.405,-0.542,0.603
0.0186,0.0808,1.02,33.19,-2.252,-0.382,0.603
0.0168,0.072,1.0251,33.09,-2.305,-0.527,0.771
0.0144,0.0818,1.0176,33.09,-2.13,-0.397,0.71
0.0122,0.0742,1.0239,33.19,-2.344,-0.305,0.527
0.0203,0.0728,1.0273,33.19,-2.046,-0.336,0.611
0.0117,0.0728,1.022,33.19,-2.221,-0.366,0.618
0.0139,0.0784,1.0247,33.09,-2.107,-0.374,0.519
0.0198,0.0732,1.0264,33.09,-2.198,-0.466,0.588
0.0217,0.0774,1.0208,33.19,-2.237,-0.282,0.542
0.0173,0.0813,1.0266,33.14,-2.198,-0.336,0.794
0.0205,0.0728,1.0254,33.14,-2.107,-0.603,0.672
0.0193,0.0779,1.0254,33.14,-2.153,-0.45,0.565
0.0183,0.0723,1.0227,33.14,-2.29,-0.427,0.664
0.0178,0.0757,1.0281,33.24,-2.176,-0.458,0.771
0.0171,0.0769,1.0239,33.24,-2.145,-0.489,0.649
0.0132,0.0803,1.0173,33.14,-2.298,-0.382,0.611
0.0222,0.0728,1.0217,33.24,-2.191,-0.397,0.725
0.0144,0.0793,1.0225,33.14,-2.16,-0.588,0.542
0.0222,0.0754,1.022,33.14,-2.069,-0.351,0.443
0.0212,0.0789,1.0229,33.05,-2.137,-0.267,0.542
0.0193,0.0764,1.0232,33.09,-2.191,-0.626,0.702
0.0212,0.0762,1.0156,33.09,-2.13,-0.298,0.611
0.019,0.082,1.0232,33.09,-2.046,-0.595,0.695
0.0127,0.0854,1.0264,33.19,-2.252,-0.427,0.664
0.0178,0.0715,1.0227,33.09,-2.076,-0.527,0.695
0.0154,0.0813,1.0212,33.14,-2.015,-0.649,0.603
0.0151,0.084,1.0273,33.24,-2.038,-0.382,0.695
0.02,0.0762,1.0234,33.14,-2.191,-0.458,0.802
0.0127,0.0759,1.0181,33.14,-2.214,-0.481,0.656
0.0149,0.0784,1.03,33.14,-2.305,-0.557,0.702
0.0144,0.0793,1.0186,33.24,-2.069,-0.611,0.618
0.0171,0.0779,1.0203,33.19,-2.176,-0.511,0.718
0.0195,0.0774,1.0261,33.05,-2.076,-0.321,0.557
0.0178,0.0771,1.0193,33.09,-2.229,-0.405,0.695
0.022,0.075,1.0244,33.09,-2.16,-0.466,0.588
0.0193,0.0747,1.0234,33.19,-2.191,-0.252,0.534
0.0149,0.074,1.019,33.09,-2.145,-0.336,0.527
0.0159,0.073,1.0203,33.19,-2.069,-0.504,0.672
0.0176,0.0754,1.022,33.09,-2.191,-0.328,0.649
